,crowd,text
9,1,"Fascism? There is no such thing as fascism, it doesn't exist. The real problem is those damned orphans and unwed mothers, screw em!
"
16,1,"Except, of course, this is still a dynamic and developing situation. There may be one more person in the GOP who cares enough about this country to keep a *filthy* rich, clueless, unprepared, war-profiteer out of a critical seat.
"
17,1,"Of course you are right - the project went bankrupt, for the third or fourth time. Trump merely took the money and ran, essentially stripping the venture of liquid assets. As his son Eric Trump said, """"We walked away with millions."""" Trump made most of his fortune by ripping off others in bankruptcy procedures. He wasn't smart enough, he just hired smart New York lawyers.  Your tropes are paranoid, your politics are toxic. You are ignorant except you fill in your mental vacuum with the worst sort of trashy propaganda. Have the life you deserve.
"
24,1,"Might as well destroy all statues of Alexander the Great while you're at it, tear down the Coliseum in Rome and burn down the Vatican.
"
29,1,"It's """"Boipatong"""" and """"apologize."""" But be that as it may, another fine piece of manufactured leftard outrage. But I do have a solution for you: given that you are practically insanely outraged over apartheid (also just 1 p), why don't you sell all your assets and hand over the proceeds to black people, to show us how really, truly,  f...king sorry you are (wth apologies to Monty Python?) This includes, of course, the PC on which you so regularly spew your brain-dead bilge. That way, not only will some apartheid victims benefit, but we will all also be spared from having to read your nonsensical whingeing.
"
42,1,"I  don't see those pieces of sky falling fast enough to impact PERS before I die anyway.
"
67,1,"Don't stand to close to Comey.  He has Hillary AIDS & herpes.
"
74,1,"Why would the smiling, lying, Christian crusader Mike Pence need a lawyer for...............for lying?
"
77,1,"Disco, hottub or whatever Joe you want to call yourself, it's disgustingly stupid comments like this  that render anything insightful you might have to say on other stories meaningless.  You have yourself a super tolerant day now Joe.
"
116,1,"Yep. The Muslims take over the Democrats are cooked, Hillary can't run for President, Rosie would be roasted, Ashley Judd would be sold to an ISIS soldier, Maxine Waters would be cleaning toilets, Pelosi would be washing dishes. Get it?
"
118,1,"16 comments, boy they must have deleted 200 from this discussion, media parasites don't like what ordinary people think, they just want to force feed their garbage on a population that doesn't want it.
"
143,1,"To Trump's base: What does it take? How long are you going to stick with this moron-in-chief?
"
147,1,"One of the failed asylum seekers just murdered a man in Hamburg and stabbed/wounded at least five or six more. He was a known Islamist.
"
187,1,"Democrat's Destruction of """"Paradise"""", as the Bribes of Campaign Contributions from Land Developers (Rapists).  Democrats Anti Hawaii Citizens Legal Actions, that resulted in many Elderly kicked out of their Homes to be Hawaii's Homeless.  Of course, Valleyisle57, you are a Democrat as Clueless about these Democrat U.S. Laws, Democrat Supported Laws, Democrat Actions.  How about I poop in a bucket and you take """"ownership"""" of that bucket of poop, same as what you want Republic of  Americans to take """"ownership"""" of.  How about leaving The Union of States of the United States of the Republic of America (not a Democracy since the Republican 1787 U.S. Constitution eliminated the Democracy 1781 Articles of Confederation) and joining your Democrats at the Democratic Republic of North Korea.  You cannot go to the Only Working Democratic Nation that is Hated by U.S. Democrats, the Democratic Nation of Israel.
"
195,1,"damned if ya do...damned if ya don't when you mention """"school"""".
"
208,1,"Yes sir. Time to start buying the union vote with our money. I really wish that useless sow we have as Premier would be diagnosed with cancer so I could laugh at her dieing. She has been nothing but a total leech on Ontario's back and its time we dumper her and her union scum friends.  BTW This was never meant to be a """"civil"""" comment as the useless twat isn't worth an ounce of civility.
"
224,1,"Funny kine name. What's his race? Filipino? Pordagee? Violating a TSO means he can be put into prison for good amount of time. Seriously stupid buggha.
"
229,1,"Grand standing egomaniacs?   Oh I get it, unlike Trump and Clinton right?   The Dems and the Reps are two sides of the same corrupt coin, if you want the same old crap feel free to vote for the same old crap.
"
233,1,"Just another """"Trump voters are stupid"""" editorial.
"
234,1,"I agree with you AF514. However, didn't Trump criticize Obama for letting his plans known before conducting air strikes. At least Obama was trying to save innocent lives, Trump is just a fool and a blow-hard.
"
285,1,"Rights? Rights! You ain't got no stinkin' rights in this sect .., and don't you forget that, upstart!!!
"
291,1,"Bad credit - all companies play by the same credit rules.  In total, 90,800 minvans sold in Canada last year. Chrysler accounted for 54,000 of them. That include Toyota, Honda, Kia, Mazda, and Nissan. Ram also accounted for 89,000 of the 344,000 full sized  trucks that were sold too. I'd say you are assuming the bulk of Canadians are stupid and frankly that's just not very nice.
"
295,1,"for a minute I thought you were talking about Justin, but you left out spending our money irresponsibly and being dumb as a bag of hammers, Then I knew it was not Justin.
"
304,1,"Yep and I have a bond on Nkandla and I have no knowledge of alterations to the homestead or have sexual relations with that woman!!!
"
309,1,"Waianae is for losers. Place for poor people, no self-esteem, dumb uneducated, potbellyed pigs, lazy, filthy, stealers, sheets of Hawaii. Thank God there's a place to put them.
"
314,1,"You said, """"It's clear that these players took a knee to protest his disrespect toward them, calling them SOB's and stating they should be fired. Regardless of whether you like what they're protesting or not, they have the right to protest whatever they want. Trump is a National Disgrace."""" Let's be clear. 1.) They ARE SOB's for disrespecting dead soldiers & their families who have lost them. If you disagree, then take the time to ask their families who have lost someone. Ask Taya Kyle (Chris Kyle's wife). I'm sure she'd love to set you straight. 2.) No, they do not have the right to protest whatever they want. Would you protest for the unfair treatment of pedophiles? Of course not. Having the right to protest, doesn't mean you SHOULD. If you are going to protest police brutality, then use the correct forum. Not the Anthem. It borders, IMHO, on treason. It is rude and disrespectful and unless you missed it, America doesn't like it. Unless you are Antifa, of course.
"
318,1,"Yes I would. The easiest way and the cheapest way to put a communist country under is via pure capitalism. Have a look at USSR and China? If we had been a little smarter than JFK and his dumb ass little brother we would have invited Cuba to trade on very lucrative terms and been done with them by 1970 or so.
"
323,1,"Trump is a section eight.  Trump wastes most of his time wasting government funds on his golf game. He could not even pick up the phone to offer his condolences to families of soldiers who made the ultimate sacrifice. Trump is just dysfunctional and a stupid liar.
"
337,1,"In my all my years I don't think I have ever known anyone to sexually assault or be sexually assaulted.  So wherever this so-called """"rape culture"""" is happening, it must be in the big cities.  And to the drunk girls.
"
362,1,"TWU has no way of knowing what students are doing. A homosexual could attend the university and have sex every night if he or she wished. It's an honour system, not a prison camp.
"
365,1,"Phesoj, Anti gun rhetoric and Islamic terrorist denial is sad.
"
387,1,"THis only proves that the only bad people are white people. They are the scourge of earth and we would all be better off if white people were simply exterminated. There would be peace prosperity and justice for all people of colour and Muslims.
"
409,1,"Thank you for quoting facts and not hateful spoon fed knee jerk reactions!
"
444,1,"The fact of the matter, is the only solution will be when both sides have leaders who want peace (similar to the peace between Egypt and Israel) and that is clearly not the situation now. .........  I'm sorry Sheryl, but you're scraping the bottom of the barrel.  Years ago, the Israelis had the moral authority and the leaders that could be looked to in peace negotiations, leaders that employed logic, compassion and reason. At that time, the Palestinians (and the Arab nations) did not have the """"reasonable/logic"""" leaders Israel did.  The problem being, times have changed. The impasse at his time is not the Palestinians hindering the peace process, it is the far right Israeli government. And..........before you get to the lunatic fringe Hamas, these specimen are not any worse in their rhetoric/hatred than the Israeli settlers.    Think about it. Go to Israel if need be and see what this nonsense looks like on the ground.  Believe me.............it's not """"pretty"""".  .
"
484,1,"religion is crack cocain for the brain for those who can't afford the real thing.
"
489,1,"I expected Wall to run for the Conservative Party leadership but it appears he lacks the cojones to take on Justin Trudeau.
"
510,1,"No, the social situation, by itself,  wasn't the cause of the rape of thousands of young boys by priests.  The key factor in these rapes was that these priests were secretly gay.  If these priests weren't gay, then guess what?   There likely wouldn't have been a clerical sex abuse scandal of anywhere near the scope of what actually transpired.  But NCR and other progressives are determined to imply that the fault lies elsewhere.   The cardinals, the bishops, the Vatican, the committees, while pretending that homosexual priests weren't the principle cause of the scandal.
"
515,1," You think the white supremacists are managing their new and improved public image?  . (yeah, ...where is that emoji of the little skinhead with the swastika neck tattoo?)
"
522,1,"The next US 'civil war' (primarily fought through the media on social networks) is going to be centered around the question of whether the US consumer should be subsiding US manufacturing jobs through higher prices of goods. You can already see it starting in the comments sections of US publications like The Atlantic. Mainstream America is serious pissed at the cranky old white men that pushed Trump over the top.
"
